,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,245,401,711,915,1185,1463,1198,879,654,444,248
1,239,394,703,908,1166,1439,1181,871,645,439,246
2,238,392,699,898,1155,1421,1166,862,636,431,246
3,237,387,694,894,1151,1409,1153,856,630,427,242
4,237,383,688,891,1142,1399,1142,852,628,423,240
5,236,378,683,881,1134,1386,1138,851,623,419,239
6,235,376,679,875,1128,1379,1129,841,621,419,238
7,235,374,674,872,1123,1373,1125,838,618,414,238
8,234,372,673,871,1118,1369,1116,833,616,410,236
9,234,372,669,866,1113,1367,1111,830,612,408,236
10,233,372,666,863,1109,1361,1103,827,608,406,231
11,232,372,663,860,1107,1356,1099,826,603,405,229
12,230,371,660,858,1103,1352,1096,823,602,405,227
13,230,370,658,853,1101,1349,1091,819,600,401,227
14,228,368,653,845,1099,1342,1086,815,599,401,227
15,228,365,652,845,1096,1331,1078,807,596,399,227
16,227,364,650,845,1095,1330,1076,807,592,397,226
17,226,360,648,843,1087,1328,1076,804,592,394,226
18,225,357,646,838,1077,1318,1070,800,589,390,225
19,224,354,644,835,1071,1306,1066,795,585,385,223
20,224,351,640,827,1068,1289,1056,790,579,384,221
21,221,349,636,820,1064,1279,1047,786,575,380,221
22,221,346,635,817,1061,1265,1041,781,568,377,219
23,218,344,631,814,1057,1260,1035,778,566,377,217
24,215,339,625,806,1050,1254,1030,776,561,375,215
25,214,336,620,799,1044,1244,1022,772,557,373,213
26,210,335,613,788,1028,1232,1014,764,551,369,212
27,204,333,604,772,1007,1214,1006,754,543,363,206
28,198,325,596,760,990,1191,979,740,534,359,200
29,197,318,589,749,980,1171,966,730,525,351,195
30,193,312,586,742,974,1151,951,722,513,347,193
31,191,307,576,734,965,1140,937,711,509,340,189
32,188,294,555,718,944,1119,916,696,500,333,180
33,184,283,541,692,918,1085,895,677,487,327,172
34,180,278,529,675,900,1054,862,662,480,319,166
35,178,269,514,664,879,1039,845,645,469,313,162
36,175,262,499,656,863,1019,829,627,455,307,159
37,170,259,480,651,853,993,821,614,445,304,158
38,166,250,468,637,824,971,799,604,436,299,157
39,159,245,453,625,804,950,779,587,426,287,153
40,157,242,442,608,783,925,762,572,418,283,152
41,148,236,429,583,765,899,746,546,412,277,150
42,145,231,421,565,739,870,719,535,402,267,150
43,144,226,414,555,726,853,700,529,396,258,143
44,144,223,410,541,717,841,686,523,393,255,141
45,143,222,403,537,709,828,679,518,387,253,140
46,140,218,397,523,701,813,670,512,382,248,139
47,138,215,392,511,687,800,665,499,375,240,138
48,134,212,382,501,672,789,643,487,369,236,136
49,131,208,376,490,661,771,634,483,360,231,133
50,128,203,372,479,650,754,620,469,353,227,130
51,124,200,364,467,636,735,610,458,345,227,128
52,122,199,355,458,626,716,596,451,338,218,126
53,120,197,353,450,614,701,582,445,335,213,124
54,119,192,344,438,609,689,578,438,332,210,124
55,119,187,327,429,591,666,568,426,323,207,120
56,119,184,324,425,583,654,563,420,318,202,117
57,113,181,320,419,571,646,559,411,310,202,117
58,113,180,316,411,567,638,558,408,307,200,116
59,112,179,314,407,562,631,553,402,304,199,116
60,112,177,308,403,555,617,547,396,301,197,116
61,110,175,303,397,552,613,542,390,297,196,115
62,109,169,298,393,543,601,538,386,297,193,113
63,107,166,294,388,531,592,525,378,295,189,112
64,105,163,291,382,523,584,520,376,295,187,110
65,103,159,287,376,518,569,513,370,294,187,107
66,102,159,284,372,513,567,504,366,292,184,106
67,101,159,283,372,507,565,498,363,287,180,105
68,98,157,278,369,502,558,494,362,283,177,105
69,96,155,278,363,498,551,489,360,281,175,103
70,94,155,275,357,494,550,483,358,281,175,102
71,93,154,271,350,489,538,479,354,278,174,101
72,92,151,264,341,481,533,474,350,275,173,100
73,91,150,258,337,475,521,471,341,268,170,100
74,90,149,256,328,466,505,468,336,266,168,99
75,87,147,252,323,456,500,465,330,262,167,98
76,85,144,246,313,448,488,456,324,258,165,96
77,83,141,241,304,439,476,451,318,251,162,96
78,80,139,238,297,429,462,443,314,246,158,95
79,80,136,231,291,420,456,437,305,243,155,93
80,79,136,226,286,413,450,429,299,241,151,91
81,78,136,223,284,408,445,419,293,236,149,91
82,78,133,221,280,407,443,414,292,234,149,88
83,75,132,217,279,402,438,411,291,232,149,86
84,75,130,214,278,400,436,406,286,230,147,86
85,74,128,213,277,397,433,405,283,229,147,82
86,74,128,213,276,395,431,404,282,229,145,82
87,74,127,212,275,395,430,403,281,229,143,80
88,74,127,211,275,394,429,403,279,229,143,80
89,73,127,211,274,393,425,403,278,229,143,80
90,72,125,210,272,392,425,401,277,228,142,80
91,72,125,208,270,389,424,398,276,225,142,79
92,72,125,207,268,386,421,395,275,225,142,78
93,72,124,207,266,384,419,394,275,224,141,77
94,72,124,207,265,383,415,393,274,224,140,75
95,72,124,207,265,383,415,392,274,224,139,75
