,Fine,On Fire,Burned Out,Clusters
0,8280,84,164,11
1,8177,62,289,12
2,8054,72,402,11
3,7905,94,529,13
4,7740,80,708,13
5,7598,70,860,11
6,7479,65,984,14
7,7315,91,1122,13
8,7158,85,1285,13
9,7038,65,1425,15
10,6889,88,1551,20
11,6737,79,1712,21
12,6611,72,1845,21
13,6458,90,1980,23
14,6311,64,2153,24
15,6174,71,2283,22
16,6019,80,2429,27
17,5886,80,2562,26
18,5681,125,2722,30
19,5463,107,2958,36
20,5333,74,3121,31
21,5196,73,3259,30
22,5083,66,3379,31
23,4949,70,3509,34
24,4837,57,3634,31
25,4675,90,3763,32
26,4501,100,3927,35
27,4313,102,4113,34
28,4130,104,4294,33
29,3924,114,4490,34
30,3700,138,4690,43
31,3497,116,4915,41
32,3256,132,5140,43
33,3038,103,5387,40
34,2918,75,5535,38
35,2739,122,5667,43
36,2476,142,5910,50
37,2266,115,6147,53
38,2043,115,6370,53
39,1873,106,6549,55
40,1688,98,6742,54
41,1509,87,6932,59
42,1313,107,7108,61
43,1167,90,7271,62
44,1038,75,7415,66
45,924,62,7542,62
46,831,53,7644,63
47,724,57,7747,65
48,627,68,7833,72
49,531,46,7951,73
50,487,24,8017,71
51,460,14,8054,70
52,451,4,8073,70
53,451,0,8077,70
