,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,292,410,626,906,1187,1482,1184,922,705,418,257
1,287,402,611,886,1159,1454,1162,903,691,413,254
2,281,397,600,858,1132,1424,1143,885,679,404,245
3,279,391,595,838,1114,1394,1114,874,667,394,240
4,269,380,580,820,1084,1361,1086,854,658,385,238
5,256,370,567,792,1057,1319,1055,834,634,377,232
6,249,364,559,766,1038,1282,1027,812,624,368,225
7,245,359,549,754,1007,1263,1009,793,610,359,217
8,241,351,539,738,984,1231,984,775,600,351,211
9,234,347,532,726,962,1207,961,756,594,344,208
10,229,338,523,711,944,1184,938,734,581,335,199
11,224,329,515,700,926,1163,921,721,570,328,198
12,220,323,508,679,900,1145,899,709,562,318,196
13,217,317,499,663,883,1119,887,696,558,315,195
14,216,312,483,652,868,1098,867,683,548,310,193
15,208,304,474,632,850,1071,842,666,540,308,191
16,203,293,465,615,839,1045,821,654,530,300,189
17,196,286,451,600,816,1019,804,628,512,295,178
18,190,276,438,581,777,976,776,607,497,279,170
19,182,263,414,555,745,939,739,584,477,263,158
20,178,256,389,530,709,906,707,560,444,256,154
21,174,251,374,503,682,876,680,535,425,242,149
22,171,242,359,488,653,842,660,506,414,236,146
23,162,233,347,468,626,802,628,489,400,222,142
24,157,223,332,449,600,773,598,472,384,204,137
25,153,223,317,436,585,753,576,459,376,198,126
26,147,213,308,418,565,730,558,444,366,193,123
27,142,210,296,406,541,703,537,421,357,186,118
28,132,200,283,383,528,672,510,401,347,178,112
29,129,193,273,363,504,640,480,383,333,172,107
30,125,182,266,347,471,609,457,360,316,157,102
31,121,165,251,333,447,581,429,346,301,151,100
32,114,159,233,317,426,550,405,327,277,143,95
33,103,150,221,291,404,527,378,310,256,131,90
34,95,137,211,268,376,495,359,281,247,123,85
35,89,128,198,253,357,458,332,265,238,111,81
36,85,113,188,244,337,439,314,257,218,105,76
37,84,106,176,236,319,418,298,242,207,101,70
38,82,102,164,226,302,401,282,230,197,97,67
39,78,96,157,213,282,371,269,218,189,93,63
40,74,83,151,197,261,345,250,208,178,87,57
41,67,76,135,180,246,326,232,191,159,82,55
42,61,67,131,171,228,300,219,176,144,74,52
43,55,64,122,154,209,266,196,163,130,72,46
44,52,58,110,137,188,239,177,149,110,67,45
45,48,54,100,125,176,218,162,132,100,64,43
46,45,51,95,115,170,204,150,127,94,58,41
47,44,47,90,103,155,180,139,117,86,50,40
48,36,44,83,94,135,164,118,109,76,49,36
49,31,38,72,88,121,138,99,91,69,43,27
50,27,37,66,78,113,119,86,79,67,39,24
51,26,31,64,76,102,110,79,73,62,38,24
52,25,28,57,69,90,103,76,68,61,37,23
53,23,25,50,63,75,96,70,60,55,33,22
54,20,22,47,60,68,94,62,53,48,31,21
55,20,22,45,58,66,90,59,49,46,28,20
56,18,19,42,56,63,85,58,46,41,26,20
57,17,19,39,51,59,82,56,43,39,25,18
58,15,19,37,50,57,79,54,41,37,24,18
59,15,19,36,43,53,77,53,39,37,23,18
60,14,17,36,42,50,75,49,39,34,23,17
61,14,17,36,41,50,75,49,38,34,23,17
