,Fine,On Fire,Burned Out,Clusters
0,8316,65,124,15
1,8226,49,230,15
2,8098,71,336,16
3,7977,64,464,21
4,7903,42,560,20
5,7813,47,645,23
6,7753,38,714,22
7,7664,51,790,23
8,7590,50,865,27
9,7521,47,937,25
10,7477,17,1011,26
11,7463,11,1031,27
12,7434,16,1055,27
13,7419,9,1077,27
14,7392,12,1101,28
15,7361,20,1124,32
16,7320,23,1162,32
17,7294,11,1200,32
18,7274,10,1221,32
19,7252,14,1239,32
20,7240,10,1255,32
21,7231,6,1268,32
22,7208,15,1282,33
23,7184,14,1307,33
24,7153,14,1338,35
25,7122,19,1364,33
26,7086,15,1404,33
27,7037,22,1446,35
28,6993,20,1492,35
29,6953,29,1523,36
30,6897,28,1580,38
31,6848,22,1635,39
32,6824,16,1665,39
33,6790,19,1696,39
34,6743,26,1736,39
35,6678,33,1794,42
36,6636,26,1843,43
37,6589,30,1886,45
38,6556,24,1925,44
39,6517,24,1964,45
40,6497,16,1992,45
41,6466,21,2018,42
42,6426,27,2052,42
43,6386,24,2095,44
44,6320,34,2151,45
45,6274,21,2210,47
46,6229,27,2249,45
47,6179,32,2294,47
48,6116,36,2353,46
49,6019,58,2428,47
50,5915,58,2532,49
51,5830,52,2623,49
52,5741,49,2715,52
53,5624,66,2815,55
54,5555,41,2909,54
55,5505,31,2969,55
56,5449,27,3029,58
57,5398,29,3078,57
58,5363,24,3118,59
59,5281,43,3181,57
60,5204,45,3256,57
61,5146,37,3322,59
62,5061,48,3396,60
63,4984,40,3481,61
64,4905,42,3558,60
65,4838,39,3628,61
66,4769,43,3693,63
67,4677,59,3769,67
68,4582,51,3872,66
69,4478,50,3977,69
70,4422,33,4050,70
71,4360,29,4116,71
72,4305,25,4175,72
73,4277,16,4212,75
74,4227,25,4253,75
75,4177,26,4302,75
76,4127,28,4350,75
77,4078,30,4397,77
78,4043,20,4442,78
79,4018,16,4471,78
80,4005,9,4491,77
81,3993,7,4505,78
82,3987,6,4512,77
83,3985,1,4519,77
84,3981,4,4520,78
85,3976,3,4526,77
86,3972,4,4529,77
87,3964,8,4533,78
88,3942,8,4555,79
89,3941,1,4563,79
90,3941,0,4564,79
