,Fine,On Fire,Burned Out,Clusters
0,8307,82,172,8
1,8111,111,339,11
2,7949,99,513,8
3,7814,86,661,10
4,7586,129,846,8
5,7383,110,1068,11
6,7220,94,1247,13
7,7080,85,1396,17
8,6916,89,1556,21
9,6793,78,1690,17
10,6652,64,1845,17
11,6533,62,1966,18
12,6398,61,2102,20
13,6283,66,2212,18
14,6147,83,2331,25
15,6012,74,2475,20
16,5867,87,2607,22
17,5688,97,2776,22
18,5427,140,2994,27
19,5190,129,3242,25
20,4981,108,3472,28
21,4800,91,3670,25
22,4616,101,3844,27
23,4404,115,4042,32
24,4248,81,4232,30
25,4137,65,4359,29
26,3984,81,4496,31
27,3826,91,4644,33
28,3647,99,4815,35
29,3466,111,4984,42
30,3303,89,5169,37
31,3125,100,5336,43
32,2959,87,5515,48
33,2773,88,5700,47
34,2580,97,5884,44
35,2426,84,6051,48
36,2314,62,6185,45
37,2192,65,6304,48
38,2083,67,6411,47
39,1958,71,6532,45
40,1818,73,6670,46
41,1663,86,6812,49
42,1553,70,6938,51
43,1394,83,7084,55
44,1259,73,7229,56
45,1173,49,7339,56
46,1097,53,7411,59
47,994,57,7510,59
48,883,61,7617,61
49,764,53,7744,63
50,705,30,7826,65
51,664,21,7876,63
52,602,35,7924,64
53,536,36,7989,67
54,510,16,8035,67
55,493,10,8058,64
56,454,20,8087,67
57,436,12,8113,66
58,423,8,8130,67
59,404,9,8148,67
60,394,2,8165,64
61,394,0,8167,64
