,log_strength,Run,Clusters,density,fire_power
0,30,0,1,0.9,50
1,30,1,3,0.9,50
2,30,2,3,0.9,50
3,30,3,2,0.9,50
4,30,4,1,0.9,50
5,30,5,4,0.9,50
6,30,6,3,0.9,50
7,30,7,2,0.9,50
8,30,8,2,0.9,50
9,30,9,2,0.9,50
10,30,10,1,0.9,50
11,30,11,4,0.9,50
12,30,12,1,0.9,50
13,30,13,2,0.9,50
14,30,14,2,0.9,50
15,30,15,1,0.9,50
16,30,16,2,0.9,50
17,30,17,2,0.9,50
18,30,18,2,0.9,50
19,30,19,5,0.9,50
20,30,20,3,0.9,50
21,30,21,2,0.9,50
22,30,22,1,0.9,50
23,30,23,4,0.9,50
24,30,24,3,0.9,50
25,30,25,3,0.9,50
26,30,26,3,0.9,50
27,30,27,1,0.9,50
28,30,28,2,0.9,50
29,30,29,4,0.9,50
30,30,30,2,0.9,50
31,30,31,2,0.9,50
32,30,32,1,0.9,50
33,30,33,2,0.9,50
34,30,34,4,0.9,50
35,30,35,3,0.9,50
36,30,36,2,0.9,50
37,30,37,2,0.9,50
38,30,38,2,0.9,50
39,30,39,3,0.9,50
40,30,40,4,0.9,50
41,30,41,3,0.9,50
42,30,42,2,0.9,50
43,30,43,2,0.9,50
44,30,44,3,0.9,50
45,30,45,1,0.9,50
46,30,46,2,0.9,50
47,30,47,1,0.9,50
48,30,48,6,0.9,50
49,30,49,3,0.9,50
50,30,50,4,0.9,50
51,30,51,2,0.9,50
52,30,52,3,0.9,50
53,30,53,2,0.9,50
54,30,54,5,0.9,50
55,30,55,3,0.9,50
56,30,56,2,0.9,50
57,30,57,2,0.9,50
58,30,58,2,0.9,50
59,30,59,1,0.9,50
60,30,60,1,0.9,50
61,30,61,3,0.9,50
62,30,62,2,0.9,50
63,30,63,2,0.9,50
64,30,64,4,0.9,50
65,30,65,3,0.9,50
66,30,66,1,0.9,50
67,30,67,2,0.9,50
68,30,68,2,0.9,50
69,30,69,2,0.9,50
70,30,70,2,0.9,50
71,30,71,3,0.9,50
72,30,72,1,0.9,50
73,30,73,1,0.9,50
74,30,74,2,0.9,50
75,30,75,3,0.9,50
76,30,76,1,0.9,50
77,30,77,2,0.9,50
78,30,78,3,0.9,50
79,30,79,3,0.9,50
80,30,80,2,0.9,50
81,30,81,2,0.9,50
82,30,82,2,0.9,50
83,30,83,2,0.9,50
84,30,84,2,0.9,50
85,30,85,2,0.9,50
